Date;Open;High;Low;Close;Adj Close;Volume
07/03/1991;31.72801;31.967016;31.459129;31.668261;14.650479;4989838
08/03/1991;31.817638;31.937141;31.309752;31.369503;14.51227;6209056
11/03/1991;31.070745;31.190248;30.77199;30.861616;14.277306;7549610
12/03/1991;30.801865;30.891491;30.234226;30.353727;14.042338;9024051
13/03/1991;30.353727;30.981119;30.293978;30.861616;14.277306;6294410
14/03/1991;30.891491;31.25;30.234226;30.62261;14.166732;8137462
15/03/1991;30.532984;30.532984;30.174475;30.264101;14.000883;11261236
18/03/1991;30.20435;30.62261;30.174475;30.562859;14.139094;6239599
19/03/1991;28.381931;28.441683;27.485661;27.515535;12.729331;26503966
20/03/1991;27.485661;27.575287;27.127151;27.276529;12.61876;16765706
21/03/1991;27.425907;27.485661;26.529636;26.738768;12.369987;13526035
22/03/1991;26.768642;26.91802;26.589388;26.679014;12.342339;11959127
25/03/1991;26.738768;27.157026;26.708891;27.127151;12.549658;6681430
26/03/1991;27.127151;27.396032;27.097275;27.216778;12.591124;5756347
27/03/1991;27.336281;27.396032;26.888145;26.977772;12.480551;7132465
28/03/1991;27.246655;27.336281;26.977772;27.216778;12.591124;6773059
01/04/1991;27.216778;27.306404;26.738768;26.828394;12.411452;5953832
02/04/1991;26.888145;27.127151;26.559511;27.0674;12.522013;9489730
03/04/1991;27.097275;27.306404;27.007648;27.037523;12.508184;7702326
04/04/1991;27.157026;27.425907;26.798517;27.127151;12.549658;8109847
05/04/1991;27.276529;27.366158;26.888145;26.91802;12.452909;6360098
08/04/1991;26.858271;27.127151;26.768642;27.007648;12.49438;4037978
09/04/1991;26.947897;27.097275;26.529636;26.589388;12.300877;5643798
10/04/1991;26.619265;26.679014;26.29063;26.589388;12.300877;8052945
11/04/1991;26.559511;26.738768;26.320507;26.44001;12.231772;9266305
12/04/1991;26.529636;26.529636;25.842495;25.932121;11.996812;14876212
15/04/1991;25.872372;25.902246;25.244982;25.543737;11.817133;12664131
16/04/1991;25.573614;26.111378;25.513863;26.111378;12.079737;8730753
17/04/1991;26.201004;26.469885;26.111378;26.260756;12.148844;8740376
18/04/1991;26.29063;26.469885;26.141253;26.230881;12.135018;6124539
19/04/1991;26.111378;26.350382;26.051624;26.171127;12.107376;8825311
22/04/1991;25.991875;26.141253;25.842495;25.932121;11.996812;6570554
23/04/1991;26.051624;26.081501;25.782743;25.902246;11.982987;3899906
24/04/1991;25.902246;26.021749;25.81262;25.872372;11.969165;6033746
25/04/1991;25.902246;26.081501;25.722992;25.81262;11.941531;4691938
26/04/1991;25.81262;25.872372;25.633366;25.66324;11.872417;4282324
29/04/1991;25.752869;25.782743;25.005976;25.065727;11.595998;7759228
30/04/1991;25.215105;25.215105;24.408461;24.617592;11.388676;13757829
01/05/1991;24.498089;24.976099;24.408461;24.856598;11.499245;8134533
02/05/1991;24.796844;25.334608;24.796844;25.304731;11.706568;6368466
03/05/1991;25.215105;25.454111;24.378586;24.76697;11.45778;13485450
06/05/1991;24.468212;24.76697;24.468212;24.707218;11.565181;4577296
07/05/1991;24.707218;24.737095;24.348709;24.348709;11.397364;5381042
08/05/1991;24.408461;24.856598;24.318834;24.796844;11.607136;5790656
09/05/1991;24.916348;25.304731;24.886473;25.304731;11.844876;6458004
10/05/1991;25.304731;25.334608;24.617592;24.707218;11.565181;5708650
13/05/1991;24.76697;25.334608;24.677341;25.304731;11.844876;5374766
14/05/1991;25.215105;25.39436;25.005976;25.334608;11.858853;8226581
15/05/1991;25.095602;25.125479;24.199331;24.557838;11.495258;11198058
16/05/1991;24.796844;24.916348;24.617592;24.886473;11.649092;5704047
17/05/1991;24.76697;25.005976;24.737095;24.796844;11.607136;8841210
20/05/1991;24.886473;24.916348;24.647467;24.677341;11.551198;3308289
21/05/1991;24.76697;24.916348;24.020077;24.259083;11.355411;7009037
22/05/1991;24.438337;25.005976;24.378586;25.005976;11.705029;9380946
23/05/1991;24.976099;25.005976;24.796844;25.005976;11.705029;5779359
24/05/1991;25.005976;25.125479;24.976099;25.095602;11.746981;3996138
28/05/1991;25.155354;25.185228;24.76697;25.125479;11.760966;6032073
29/05/1991;25.005976;25.005976;24.796844;24.886473;11.649092;6912805
30/05/1991;24.76697;25.125479;24.76697;24.946224;11.677058;5979354
31/05/1991;24.946224;25.454111;24.796844;25.364485;11.872844;7384760
03/06/1991;25.334608;25.66324;25.274857;25.424234;11.900811;5530411
04/06/1991;25.244982;25.334608;25.005976;25.095602;11.746981;5104898
05/06/1991;25.185228;25.215105;24.647467;24.677341;11.551198;6222445
06/06/1991;24.647467;24.76697;24.378586;24.617592;11.523229;5665973
07/06/1991;24.587715;24.617592;24.229206;24.378586;11.411352;7365514
10/06/1991;24.468212;24.557838;24.408461;24.468212;11.453301;4122495
11/06/1991;24.557838;24.737095;24.408461;24.438337;11.439322;4756790
12/06/1991;24.348709;24.378586;24.049952;24.259083;11.355411;7864665
13/06/1991;24.229206;24.229206;23.930449;24.049952;11.257524;7933282
14/06/1991;24.229206;24.288958;23.870699;23.990202;11.229557;9882608
17/06/1991;23.810946;23.900574;23.781071;23.781071;11.131661;682829
18/06/1991;23.840822;24.13958;23.840822;24.109703;11.285494;7265098
19/06/1991;23.960325;24.199331;23.900574;24.13958;11.299477;8714435
20/06/1991;23.601816;23.721319;23.213432;23.691444;11.089707;17095824
